variant,ds,actual,pred,naive
fast_raw,2023-12-11 18:00:00,9.21,8.19843342843781,9.32
fast_raw,2023-12-12 00:00:00,42.5625,21.788315244721936,9.32
fast_raw,2023-12-12 06:00:00,42.11666666666667,18.822810887386986,9.32
fast_raw,2023-12-12 12:00:00,42.088235294117645,20.612146008571557,9.32
scientific_raw,2023-12-11 18:00:00,9.21,10.167214837927023,9.32
scientific_raw,2023-12-12 00:00:00,42.5625,23.914489401909293,9.32
scientific_raw,2023-12-12 06:00:00,42.11666666666667,21.787923912379114,9.32
scientific_raw,2023-12-12 12:00:00,42.088235294117645,22.64377239051449,9.32
scientific_drop_known_negatives,2023-12-11 18:00:00,9.21,9.04693336656246,9.32
scientific_drop_known_negatives,2023-12-12 00:00:00,42.5625,24.629643400734288,9.32
scientific_drop_known_negatives,2023-12-12 06:00:00,42.11666666666667,22.717983598425565,9.32
scientific_drop_known_negatives,2023-12-12 12:00:00,42.088235294117645,25.983632636884458,9.32
notebook_07_reference_legal_window,2023-12-11 18:00:00,9.21,10.082934123284673,9.32
notebook_07_reference_legal_window,2023-12-12 00:00:00,42.5625,26.858998678154485,9.32
notebook_07_reference_legal_window,2023-12-12 06:00:00,42.11666666666667,26.054745861178276,9.32
notebook_07_reference_legal_window,2023-12-12 12:00:00,42.088235294117645,23.449963666402,9.32
